Title,Description,Score
"Junior Accountant-Rockville, MD","The Junior Accountant will perform all of the daily processing of of payables, cash, and other directed financial operations. Duties will include coding accounts payable, ensure purchase orders are attached and approved, process cash and cash deposits, journal entries, and some balance sheet reconciliations. \r\rRESPONSIBILITIES\r\rReconcile all bank accounts in a timely manner and other balance sheet accounts \r\rProcess Purchase Orders by assigning PO #’s and distribute copies to corresponding departments.\r\rAssist Assistant Controller in entering Journal Entries at month end. \rAssist Payroll Supervisor in preparing weekly tip reports.\r\rFile all balance sheet reconciliation in orderly manner.\r ",0.9064902
Dynamics GP - GP Analyst - Missouri - $70-$90k +Bonus,"Dynamics GP – GP Analyst – Missouri - $70-$90k +Bonus \r\n\r\nDynamics GP / Great Plains End user located in Missouri is seeking a Dynamics GP / Great Plains Analyst with extensive application experience to come in and manage all aspects of their intricate GP environment. \r\n\r\nThe GP Analyst will play an important role within this End User, responsibilities include: \r\n\r\n• Providing support and maintenance for entire Dynamics GP / Great Plains system. \r\n\r\n• Managing all financial reporting through the Dynamics GP / Great Plains system. \r\n\r\n• Liaise between the Finance and Technology teams. \r\n\r\nBasic Requirements: \r\n\r\n• At least 2 years of experience analyzing Dynamics GP / Great Plains systems. \r\n\r\n• Experience training users on Dynamics GP is a major plus. \r\n\r\n• Experience conducting business process reviews. \r\n\r\n• SQL experience is a plus! \r\n\r\nThis company offers its Business Analyst a competitive base salary and it also offers bonuses, full benefits: Medical, Dental, and Vision, 401k, 4 weeks paid vacation, company car, onsite gym, and relocation assistance. \r\n\r\nThis is an industry leading End User and the Great Plains Analyst will work with both the IT and Accounting Departments to ensure effective use of the GP environment. \r\n\r\nThis company moves fast and position is to be filled after a simple process, so if you meet the minimum experience please APPLY NOW and contact John at 212-731-8272 and/or email at j.hans@nigelfrank.com. \r\n\r\nNigel Frank International is the global leader for Microsoft Dynamics recruitment, advertising more Great Plains / Dynamics GP jobs than any other agency. We deal with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Dynamics market I have built relationships with most of the key employers in North America and have an unrivalled understanding of where the best opportunities and Great Plains / Dynamics GP jobs are. \r\n\r\nI understand the need for discretion and would welcome the opportunity to speak to any Microsoft Dynamics GP / Great Plains candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed. For information on the Microsoft Dynamics market and some of the opportunities and Dynamics GP / Great Plains jobs that are available I can be contacted on 1-212-731-8282. Please see www.nigelfrank.com for more fantastic Microsoft Dynamics opportunities! \r\n\r\nNigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy.",0.9052167
"Sr Secretary/Baton Rouge, LA","Contract Sr. Secretary Position for the East Baton Rouge, Louisiana (near North Sherwood Forest Blvd/South Choctaw Drive.) Assignment length is indefinite.  Salary $10-$12/hr.\r\nCandidate must have excellent interpersonal skills and professional demeanor. Candidate will perform a variety of general office administrative functions. Answer phones, greet and meet clients, schedule and calendar appointments, and Mailroom duties.\r\nAdditional duties:\r\n2 years experience advanced MS Word, MS Excel, MS PowerPoint, typing, data entry. Compose documents, memos, and generate reports. Transcribes notes, researches and creates presentations. Handles multiple projects, and prepares and monitors invoices and expense reports. May assist with compiling and developing the annual budget. Has knowledge of commonly-used concepts, practices, and procedures within a particular field. Relies on instructions and pre-established guidelines to perform the functions of the job. Works under immediate supervision. Typically reports to a supervisor or manager. \r\n\r\nSuperior Staff Resources, Inc has achieved national ISO 9001:2000 recognition and is certified as a woman-owned business by the Women’s Business Enterprise National Counsel (WBENC). We offer Medical and Dental benefits, vacation and holiday pay to employees.\r\nTalent and Resources, Aligned. www.superiorjobs.com. EOE M/F/D/V",0.87945217
Senior Accountant - Real Estate,Beverly Hills established real estate firm in growth mode needs qualified Senior Accountant with solid real estate accounting skills.  \r\r\rResponsibilities:\r    *  General Ledger Analysis and Preparation\r    *  Bank reconciliations\r    *  CAM reconciliations\r    *  Lease administration experience,0.86344284
Credit - A/R Associate,"Under general supervision, Accounting Clerk will work within the Credit/Collection group supporting all areas of order processing.  Accounting Clerk is responsible for all Collection efforts within business unit.  Responsiblilities include professionally communicating both written and verbally with internal and external customers.  Assists Department Manager in training of team members in overall Collection processes and procedures.  Also assists in training team members in customer specific collection/reporting requirements.  Backup of Department Manager as required.  Accounting Clerk must respond professionally to both internal & external customers and merchant inquiries.  Maintain professional customer relationships regarding past due balances and/or delinquent accounts.Issue warning letters when applicable for contracted and non contracted accounts. Monitor the full-cycle credit hold process.Review monthly aging reports.Responsible for mail processing which includes but not limited to sending statements, tax documents, check request and invoices.Maintain spreadsheets as required by both internal and external customers.Generate final demand letters to contracted and non-contracted customers.Research and resolve billing disputes ensure credit/collection issues are processed efficiently to the customer's accounts.Charge credit card payments.Assist with backup for Department Manager as required.Four year college degree.Effective communicator both written and verbally. Detail oriented.  Ability to work under pressure to ensure timely completion of all collection/reporting requirements. Must have excellent data entry skills. Knowledge of Oracle preferred.  Microsoft Office knowledge is required with strong Excel skills.",0.83917266
Staff Accountant (Healthcare!),"\rWe are pleased to announce that one of the companies we partner with in the Gwinnett area is expanding their financial accounting group and looking to hire a Staff Accountant.\r  \rThis would also be an ideal position for someone with a Bachelor’s degree in Accounting OR Finance who has two to four years of experience with solid Microsoft Excel skills.\r\r\r  \rPOSITION: Staff Accountant\rLOCATION: Gwinnett\rCOMPENSATION: $40-$45k (commensurate with experience)\r  \r*** This is an exceptional opportunity *** \r\r    It is a growing company in a very stable industry!\r    Profitable business!\r    For certification purposes, you will be able to report to a CPA!\r\r  \rRESPONSIBILITIES: \r\r    Oversees and/or leads preparation of general ledger journal entries, fixed asset tracking, monthly balance sheet reconciliation, and bank reconciliation.\r    Responsible for accurate and timely month-end close; produces month-end financial reports and issues to appropriate personnel in a timely manner.\r    Analyzes and reconciles balance sheet accounts.\r    Reports, analyzes, and interprets financial and operating data for management.\r    Prepares, reviews, and interprets data for inclusion in financial reports, statements, and summaries.\r    Reviews financial data for accuracy; identifies problems and supports day-to-day operations. \r    Prepares monthly and quarterly reporting and analyses.\r    Develops reporting and variance analysis regarding departmental operating budget versus actual expenses.\r    Assists with annual external audits.\r    Assists with related special projects as required.\r    Performs other duties as assigned by manager.\r",0.8317765
$60-68k P/Y Full Charge Bookkeeper/Controller,"Long Beach, CA: Client is looking to hire a Full Charge Bookkeeper/Controller.  Ideal candidate will have 7-10 years recent experience, good job stability, multi-company, and multi-location experience.  Managed the day-to-day accounting processes including Accounts Receivable, Accounts Payable, (both high-volume) banking transactions, financial analysis, payroll and health care administration, financial statement generation, as well as administrative duties, knowledgeable Quickbooks is a plus, understanding of Inventory, GL's, financial statements, must be able to work on their own, able to be a mentor to others, thick skinned, be a self starter, honest, trustworthy and professional work ethics.  Must have an outgoing personality, good phone communication skills. Prefers local candidates.  Hours are Mon-Fri. 7:30-4:30 or 8-5pm w/ 1hr. Lunch.  Benefits offered are Medical/ dental and vision.  If you meet the listed requirements, please respond to this job posting for immediate consideration.  We are an equal employment opportunity employer.",0.81897664
ACCOUNTANT - CPA FIRM,"Accountant - \r\n\r\n      CPA Firm\r\n\r\n      Phoenix, AZ                                 Email\r\n      R.C. Thornton & Associates, \r\n\r\n      \r\n      CPAs is a small boutique CPA firm located in Central Phoenix, AZ.\r\n      Our current opportunity requires a minimum of 3 years experience. \r\n\r\nWe’re not looking for someone to do bookkeeping or administrative tasks.  We are looking for smart, ambitious professionals who want to learn and be an integral part of our client services.\r\n\r\n You’ve probably looked at the large firms.  But have you considered that a boutique firm like R.C. Thornton & Associates, CPAs might be able to offer a better career building package?\r\n\r\nAt R.C. Thornton & Associates:\r\n•\tWe prioritize teaching and developing for our new associates.  Our Associates tell us that we offer a better and more structured training and orientation than what you would expect in a large CPA firm.\r\n•\tOne associate explains:   “I have learned an immense amount and it is a privilege to work for someone who wants to follow the law and do things correctly while still trying to get the best advantage for the client.  The tax work here is extremely interesting and I love that part of the job.”\r\n•\tWe stress a work-life balance.  Actually, we think we do it better than most firms.  For example, we work only 48 hours during tax season and have Fridays off during the summer months.\r\n\r\nPerhaps it helps that the firm founder is a previous university accounting and taxation teacher, with substantial experience on the national speaker circuit for the AICPA.\r\n\r\nSee what else we offer at www.rcthornton.com.  Look under “Join our team”.  You’ll be surprised what this small CPA firm can offer you!\r\nPlease forward resume to lindat@rcthornton.com\r\n\r\n      \r\n     Source - Arizona Republic - Phoenix, AZ",0.80789715
Assistant Loan Officer Loan Processor,"Our Client, a national mortgage banker / lender has an immediate need for an experienced Assistant Loan Officer Loan Processor\r\rOffice Support\r· Receive/direct incoming calls\r· Schedule meetings on behalf of LO\r· Manage LO calendars / schedules through their ACT! Database\rOperational Support\r· Prepare files for submission to loan specialist (complete loan application, access credit, run DO, prepare application for client signature with list of documents, obtain signed application package with supporting docs)\r· Issue pre-qualification letters\r· Register and lock loans, track locks to ensure loans close within lock periods\r· Monitor and manage progress against key milestones\r· Comply with all I-touch communication request and clients well informed of progress\r· Schedule closings and ensure HUD settlement statements are delivered within 3 days of closing\r· Ensure pipeline reports are accurate\rMarketing Support\r· Maintain / Update database\r· Monthly and weekly newsletter mailings and associated client list\r· First payment calls\r· Client closing gifts\r· Client appreciation programs\r· Special marketing assignments\r\rThis person will take over, improve upon and execute against these responsibilities to ensure business operations run smoothly and that our customers receive a level of service they define as extremely positive and memorable.  This contribution will allow the LO to focus on sales/lead generation, business development and other growth areas of the company.  Ultimate performance will be based on the candidate’s ability to free up the LOs from their current day-to-day administrative activities and from repeat business that is generated through the various marketing efforts and past customer referrals.",0.80545914
Junior Tax Accountant,"Abener Engineering & Construction Services, LLC\r(A Division of Abengoa)\r \rJunior Tax Accountant\rAbener, a renewable energy Engineering and Construction Company, is looking for a Jr. Tax Accountant for its growing Finance department. This position is responsible for assisting in identifying and addressing International and Domestic tax issues. Individual must provide high-quality and timely services and demonstrate professionalism.\r \rDuties and Responsibilities:\r\r    Review tax returns (federal and state) and projects done by other tax professionals.\r    Research federal, state and local statutes, regulations, rulings and case law to develop and implement tax planning strategies designed to appropriately determine the tax treatment of business transactions and to work with other Departments and Tax Partnerships to minimize global tax burden and improve cash flow.\r    Responsible for developing and training other members of the Department in regards to domestic tax matters.\r    Manage federal and state income tax filings.\r    FAS 109 and FIN 48 provision analysis and audit support for all taxing jurisdictions.\r    Other duties as assigned. \r",0.7978564
